project_id;GFA;NSA;Floors;Units;Average_unit_area;Start_of_sales;End_of_sales;Handover;percent_of_sold;
1700004;;;;;;;;;;Al Soliman Blue Dar Compound 130
1700005;;;;;;;;;;Al Soliman Blue Dar Compound 134
6200007;;;;;;;;;;Makeen 30
6200008;;;;;;;;;;Makeen 31
6200009;;;;;;;;;;Makeen 32
6200010;;;;;;;;;;Makeen 34
6200011;;;;;;;;;;Makeen 35
6200012;;;;;;;;;;Makeen 36
6200013;;;;;;;;;;Makeen 37
6200014;;;;;;;;;;Makeen 38
6200015;;;;;;;;;;Makeen 39
6200016;;;;;;;;;;Makeen 42
6200017;;;;;;;;;;Makeen 46
6200018;;;;;;;;;;Makeen 47
6200019;;;;;;;;;;Makeen 48
6200020;;;;;;;;;;Makeen 50
6200021;;;;;;;;;;Makeen Square 51
6200022;;;;;;;;;;Makeen 52
6200023;;;;;;;;;;Makeen 54
6200024;;;;;;;;;;Makeen 56
6200025;;;;;;;;;;Makeen 57
6200026;;;;;;;;;;Makeen 59
6200027;;;;;;;;;;Makeen 28
6200028;;;;;;;;;;Makeen 27
6200029;;;;;;;;;;Makeen 26
6200030;;;;;;;;;;Makeen 25
6200031;;;;;;;;;;Makeen 24
6200032;;;;;;;;;;Makeen 19
6200033;;;;;;;;;;Makeen 18
6200034;;;;;;;;;;Makeen 17
6200035;;;;;;;;;;Makeen 15
6200036;;;;;;;;;;Makeen 13
6200037;;;;;;;;;;Makeen 12
500002;;;;;;;;;;Jawharat AlRamz
500003;;;;;;;;;;Tal Alrimal 1 & 2
500004;;;;;;;;;;Rafd Office Community
500005;;;;;;;;;;Ramz 19
500006;;;;;;;;;;Ramz 21
500007;;;;;;;;;;Ramz 23
500008;;;;;;;;;;Ramz 24
500009;;;;;;;;;;Ramz 25
500010;;;;;;;;;;Ramz 26
500011;;;;;;;;;;Ramz 29
500012;;;;;;;;;;Ramz 30
500013;;;;;;;;;;Ramz 31
500014;;;;;;;;;;Ramz 33
500015;;;;;;;;;;Ramz 35
500016;;;;;;;;;;Ramz 36
500017;;;;;;;;;;Ramz 37
500018;;;;;;;;;;Ramz 41
500019;;;;;;;;;;Ramz 48
500020;;;;;;;;;;Stone Complex
500021;;;;;;;;;;Ramz Faseelah Square
500022;;;;;;;;;;Al Ramz Office Tower
500023;;;;;;;;;;Al Ramz Sadeem
500024;;;;;;;;;;Al Ramz Jadeel Floors
500025;;;;;;;;;;Al Ramz Sadeem Villas
500026;;;;;;;;;;Office Community
9300002;;;;;;;;;;Ishraqa 01
9300003;;;;;;;;;;Ishraqa 03
9300004;;;;;;;;;;Israqa Villas 04
9300005;;;;;;;;;;Ishraqa 5
9300006;;;;;;;;;;Ishraqa 6
9300007;;;;;;;;;;Ishraqa Villas 07
9300008;;;;;;;;;;Ishraqa Apartments  07
9300009;;;;;;;;;;Ishraqa 8
9300010;;;;;;;;;;Ishraqa 9
9300011;;;;;;;;;;Ishraqa 10
9300012;;;;;;;;;;Israqa Villas 11
9300013;;;;;;;;;;Ishraqa 12
9300014;;;;;;;;;;Ishraqa 13
9300015;;;;;;;;;;Ishraqa 15
12200001;;;;;;;;;;Magna 1
12200002;;;;;;;;;;Magna 1
12200003;;;;;;;;;;Magna 3
12200004;;;;;;;;;;Magna 4
12200005;;;;;;;;;;Magna 2
12200006;;;;;;;;;;Magna 5
12200007;;;;;;;;;;Magna 6
12200008;;;;;;;;;;Magna 8
12200009;;;;;;;;;;Magna 23
12200010;;;;;;;;;;Magna 24
12200011;;;;;;;;;;Magna 25
12200012;;;;;;;;;;Magna 26
12200013;;;;;;;;;;Magna 28
12200014;;;;;;;;;;Magna 30
12200015;;;;;;;;;;Magna 32
12200016;;;;;;;;;;Magna 33
12200017;;;;;;;;;;Magna 35
12200018;;;;;;;;;;Magna 39
12200019;;;;;;;;;;Magna 41
12200020;;;;;;;;;;Magna 42
12200021;;;;;;;;;;Magna 43
12200022;;;;;;;;;;Magna 45
12200023;;;;;;;;;;Magna 47
12200024;;;;;;;;;;Magna 48
12200025;;;;;;;;;;Magna 61
12200026;;;;;;;;;;Magna 63
12200027;;;;;;;;;;Magna 64
12200028;;;;;;;;;;Magna 67
12200029;;;;;;;;;;Magna 68
12200030;;;;;;;;;;Magna 69
12200031;;;;;;;;;;Magna 71
12200032;;;;;;;;;;Magna 72
12200033;;;;;;;;;;Magna 108 (apart.)
12200034;;;;;;;;;;Magna 108 (villas)
1300007;;;;102;;;;;100%;Asala Residence - Al Nahdah
1300008;;;;30;;;;;100%;Asala Residence - Al Jazeera
1300009;;;;101;;;;;100%;Asala Residence - Al Malqa
1300010;;;;244;;;;;100%;Eyal Riyadh Heights
1300011;263953;;;600;;;;;100%;Asala Al Juwan
1300012;;;;;;;;;;Tura
8000002;;;;;;;;;;Oluo 08
8000003;;;;;;;;;;Oluo 09
8000004;;;;;;;;;;Oluo 10
8000005;;;;;;;;;;Oluo Height 13
8000006;;;;;;;;;;Oluo 14
8000007;;;;;;;;;;Oluo Height 15
8000008;;;;;;;;;;Olou Height 16
8900008;;;;;;;;;;Zan residence
8900009;;;;;;;;;;Bayat Viila 03
8900010;;;;;;;;;;Bayat Villa 04
8900011;;;;;;;;;;Bayat 01
8900012;;;;;;;;;;Bayat 10
8900013;;;;;;;;;;Bayat 11
8900014;;;;;;;;;;Bayat 12
8900015;;;;;;;;;;Bayat 13
8900016;;;;;;;;;;Bayat 15
8900017;;;;;;;;;;Bayat 16
8900018;;;;;;;;;;Bayat 17
8900019;;;;;;;;;;Bayat 18
8900020;;;;;;;;;;Bayat 19
8900021;;;;;;;;;;Bayat 20
8900022;;;;;;;;;;Bayat 21
8900023;;;;;;;;;;Bayat 22
1400046;;;;;;;;;;WATAD Tower
12300001;;;;;;;;;;Sayl 24
12300002;;;;;;;;;;Sayl 25
12300003;;;;;;;;;;Sayl 26
12300004;;;;;;;;;;Sayl 28
12300005;;;;;;;;;;Sayl 31
12300006;;;;;;;;;;Sayl 32
12300007;;;;;;;;;;Sayl 33
12300008;;;;;;;;;;Sayl 34
12300009;;;;;;;;;;Sayl 35
12300010;;;;;;;;;;Sayl 37
5900001;;;;;;;;;;Nassem Khuzam
5900002;;;;;;;;;;Tiraz Avenue
5900003;;;;;;;;;;Tiraz Qutoof
5900004;;;;;;;;;;Tiraz Pavilon
5900005;;;;;;;;;;Tiraz Gardens
5900006;;;;;;;;;;Cave
8400004;;;;;;;;;;Diaar 4
8400005;;;;;;;;;;Diaar 5
8400006;;;;;;;;;;Diaar 6
8400007;;;;;;;;;;Diaar 7
8400008;;;;;;;;;;Diaar 8
8400009;;;;;;;;;;Diaar 9
8400010;;;;;;;;;;Diaar 10
8400011;;;;;;;;;;Diaar 11
8400012;;;;;;;;;;Diaar 12
8400013;;;;;;;;;;Diaar 13
8400014;;;;;;;;;;Diaar 14
8400015;;;;;;;;;;Diaar 15
8400016;;;;;;;;;;Diaar 16
8400017;;;;;;;;;;Diaar 17
8400018;;;;;;;;;;Diaar 18
8400019;;;;;;;;;;Diaar 19
8400020;;;;;;;;;;Diaar 20
8400021;;;;;;;;;;Diaar 21
8400022;;;;;;;;;;Diaar 22
8400023;;;;;;;;;;Diaar 24
8400024;;;;;;;;;;Diaar 25
8400025;;;;;;;;;;Diaar 26
8400026;;;;;;;;;;Diaar 27
8400027;;;;;;;;;;Diaar 28
8400028;;;;;;;;;;Diaar 29
4500002;;;;;;;;;;Calma 10
4500003;;;;;;;;;;Calma 11
4500004;;;;;;;;;;Calma JN130
4500005;;;;;;;;;;Calma NR150&NR160
4500006;;;;;;;;;;Calma YS170
4500007;;;;;;;;;;Calma SH90
2600002;;;;;;;;;;Al Olaya Residential Tower
2600003;;;;;;;;;;Al Adwan Residential Tower
2600004;;;;;;;;;;Al Qirawan Building
2600005;;;;;;;;;;Sanam Tower
2600006;;;;;;;;;;Signature
4600002;;;;;;;;;;Sukun Tower
4600003;;;;;;;;;;Jahez
3800002;;;;;;;;;;Jatheer Tower
600001;;;;;;;;;;Elie Saab
600002;;;;;;;;;;Shams
2300003;;;;;;;;;;Palms Villas
2300004;;;;;;;;;;Gardens Villas
2300005;;;;;;;;;;Hills Residential Villas
2300006;;;;;;;;;;Palm View ofiices
2300007;;;;;;;;;;Albasateen Offices
12400001;;;;;;;;;;Khawalid 1
12400002;;;;;;;;;;Khawalid 4
12400003;;;;;;;;;;Khawalid 7
12400004;;;;;;;;;;Khawalid 8
12400005;;;;;;;;;;Khawalid 9
12400006;;;;;;;;;;Khawalid 10
12400007;;;;;;;;;;Khawalid 11
12400008;;;;;;;;;;Khawalid 12
12400009;;;;;;;;;;Khawalid 13
12400010;;;;;;;;;;Khawalid 15
12500001;;;;;;;;;;Sekak Masharef
12500002;;;;;;;;;;Sekak Almuhrah
12500003;;;;;;;;;;Sekak Telala
12500004;;;;;;;;;;Sekak Alghadeer
10700005;;;;;;;;;;Najd One
12600001;;;;;;;;;;Nayan 4845
12600002;;;;;;;;;;Nayan 3832
12600003;;;;;;;;;;Nayan 2909
12600004;;;;;;;;;;Nayan 3569
12600005;;;;;;;;;;Nayan 3299
12600006;;;;;;;;;;Nayan 7580
12600007;;;;;;;;;;Nayan 3794
12600008;;;;;;;;;;Nayan 3839
12600009;;;;;;;;;;Nayan 2880
12600010;;;;;;;;;;Nayan 7119
12600011;;;;;;;;;;Nayan 7110
5700001;;;;;;;;;;Alkhoyool 58
5700002;;;;;;;;;;Alkhoyool Sakina 9
5700003;;;;;;;;;;Alkhoyool Uptown
5700004;;;;;;;;;;Alkhoyool Uptown
5700005;;;;;;;;;;Alkhoyool Sakina 10
6100001;;;;;;;;;;U walk
6100002;;;;;;;;;;The View
6100003;;;;;;;;;;Salaam mall
6100004;;;;;;;;;;Tala mall
6100005;;;;;;;;;;Jewel of Riyadh
6100006;;;;;;;;;;Al Nakheel Mall
6100007;;;;;;;;;;Al Hamra Mall
12700001;;;;;;;;;;Garden Tower
12700002;;;;;;;;;;Green Oasis
12700003;;;;;;;;;;Sama
12800001;;;;;;;;;;Valen Tower
12800002;;;;;;;;;;Lumera
12800003;;;;;;;;;;V compound
12100001;;;;;;;;;;Al-Joud COMPLEX 1368
12100002;;;;;;;;;;Dura Aljoud Towers
12100003;;;;;;;;;;1383 COMPLEX
900001;;;;;;;;;;Alasila
900002;;;;;;;;;;Altameer
900003;;;;;;;;;;Sumou park
12900001;;;;;;;;;;Future City & Asdaam project
12900002;;;;;;;;;;Riyadh Grove
12900003;;;;;;;;;;East Gate
12900004;;;;;;;;;;Granada housing scheme
13000001;;;;;;;;;;Antiquity 1
13000002;;;;;;;;;;Antiquity 2
13000003;;;;;;;;;;Antiquity 4
